id,client_id,order,"name","name_dashboard","version",base_package_id,"products","criteria","other_products",certificate_available,group_separately,"optional_for_certificate","notes",access_level,"start_date","discountinued_date_DEPRECATED","discontinued_date","status",list_public,list_client_admin,list_deque_admin,"package_type",price,"price_type"
135,11710,0,"CQOAJT3_PtLiLAPoOSbGr43n8pRtXxJRcL58WMxqB9c_","CQOAJT3_PtLiLAPoOSbGr43n8pRtXxJRcL58WMxqB9c_",NULL,35,"60,35,250",NULL,"",1,1,NULL,"",0,"2023-03-10",NULL,NULL,"active",0,0,0,"learning path",NULL,"Full Curriculum"
136,11710,0,"KUldmla_Z3HKKmVneR8yiQRCez3VRzEEopySIhD4zLE_","KUldmla_Z3HKKmVneR8yiQRCez3VRzEEopySIhD4zLE_",NULL,35,"230",NULL,"",1,1,NULL,"",0,"2023-03-10",NULL,NULL,"active",0,0,0,"learning path",NULL,"Full Curriculum"
138,11710,0,"llXeWkocWavd0zfdsxL3_LViz_HQGuRzrLg9iXDMtbc_","llXeWkocWavd0zfdsxL3_LViz_HQGuRzrLg9iXDMtbc_",NULL,34,"60,35,228",NULL,"",1,1,NULL,"",0,"2023-03-10",NULL,NULL,"active",0,0,0,"learning path",NULL,"Full Curriculum"
139,11710,0,"W3GgqeQu8zqgLDOKNtMvmTXbI18plV0_wtc_j_Iinj8_","W3GgqeQu8zqgLDOKNtMvmTXbI18plV0_wtc_j_Iinj8_",NULL,34,"70,64,63,250",NULL,"",1,1,NULL,"",0,"2023-03-10",NULL,NULL,"active",0,0,0,"learning path",NULL,"Full Curriculum"
140,11710,0,"v8sMg8WMYRrpzgTXDj2QJqTzs6nJHp4eLOcVbQe_fAI_","v8sMg8WMYRrpzgTXDj2QJqTzs6nJHp4eLOcVbQe_fAI_",NULL,34,"100,30,230,235",NULL,"",1,1,NULL,"",0,"2023-03-10",NULL,NULL,"active",0,0,0,"learning path",NULL,"Full Curriculum"
141,11710,0,"BPoFcD5InXxrfzJ0JO5G_b4kuDQTaDmhiwGlGSR_hhE_","2S9NcYP3tbjFV2GncOIQUmw5V43J2RDN5xnr19kJCss_",NULL,26,"250,251,60,35,96,231",NULL,"",1,1,NULL,"",0,"2023-03-10",NULL,NULL,"active",0,0,0,"learning path",NULL,"Full Curriculum"
142,11710,0,"IQ5wfRDk2NExwlmn1PMFOyKDTMx_ATnW_DnE4OkvSfo_","rb0etfjrEP3v_WtHcc6EnGlrbzu0WFPMqJGkPEGv_pU_",NULL,26,"184,230,94,102,95",NULL,"",1,1,NULL,"",0,"2023-03-10",NULL,NULL,"active",0,0,0,"learning path",NULL,"Full Curriculum"
143,11710,0,"yTdDAUwdf_mJrokyuVRRjGZdT8f8teDojmhYfIcZXFc_","wxmtsi43ByMPalz1MIOOu_tdw2y_3rJAa0aFhDmEPLY_",NULL,26,"28,10",NULL,"",1,1,NULL,"",0,"2023-03-10",NULL,NULL,"active",0,0,0,"learning path",NULL,"Full Curriculum"
144,11710,0,"fgHuyTDxGYvcE4VtNV8_LAeJOiG20JyJr7dpL8EPgfg_","vP_r2qFFBDW16cQoIwIiXEnlLYdHhSn_Cp5qnOJD4po_",NULL,18,"60,231",NULL,"",1,1,NULL,"",0,"2023-03-10",NULL,NULL,"active",0,0,0,"learning path",NULL,NULL
145,11710,0,"FwD8gJ2h1hFl8_8GdmATg1FX5zmtI43yu69whgKxkF8_","8E_2I5GMEBzl1JtBDOf5Xu1_4OfabE8Vt8ankyTXOs0_",NULL,18,"119,72",NULL,"",1,1,NULL,"",0,"2023-03-10",NULL,NULL,"active",0,0,0,"learning path",NULL,NULL
146,11710,0,"CGDdVTxhGgzECPLal8ms1OITXfgNxCBAuOuRspGqLHo_","2GT4Exac_Yt5CsRtq2tCk9QB0hO2XcmeSodrb1sz4zI_",NULL,18,"74,35,230,250",NULL,"",1,1,NULL,"",0,"2023-03-10",NULL,NULL,"active",0,0,0,"learning path",NULL,"Full Curriculum"
147,11710,0,"TtXfIvihGHQSgee3_xgSX_etTKe5B3Qk5MglGU_LG44_","TtXfIvihGHQSgee3_xgSX_etTKe5B3Qk5MglGU_LG44_",NULL,19,"70,233,185,232",NULL,"",1,1,NULL,"",0,"2023-03-10",NULL,NULL,"active",0,0,0,"learning path",NULL,"Full Curriculum"
148,11710,0,"IPFuY7XFuwyvph8PdhaWDkwHK3lj73v_se6kt_ogYE8_","IPFuY7XFuwyvph8PdhaWDkwHK3lj73v_se6kt_ogYE8_",NULL,19,"60",NULL,"",1,1,NULL,"",0,"2023-03-10",NULL,NULL,"active",0,0,0,"learning path",NULL,"Full Curriculum"
149,11710,0,"bWyaaw9RnBMXiJs97qCGjw86tDgKWQEoBAmQZv_Lirs_","bWyaaw9RnBMXiJs97qCGjw86tDgKWQEoBAmQZv_Lirs_",NULL,19,"72,230,250",NULL,"",1,1,NULL,"",0,"2023-03-10",NULL,NULL,"active",0,0,0,"learning path",NULL,"Full Curriculum"
150,11710,0,"Dph443pU2jnBTWbCdnH3KlG0YX0vpRdbYormgmy1XUA_","Dph443pU2jnBTWbCdnH3KlG0YX0vpRdbYormgmy1XUA_",NULL,38,"18,71",NULL,"",1,1,NULL,"",0,"2023-03-10",NULL,NULL,"active",0,0,0,"learning path",NULL,"Full Curriculum"
151,11710,0,"6xRS7uDA3ec6Un_vedykrmv6SQH2NGvdNT2_jw7zgEk_","6xRS7uDA3ec6Un_vedykrmv6SQH2NGvdNT2_jw7zgEk_",NULL,38,"60,30,61",NULL,"",1,1,NULL,"",0,"2023-03-10",NULL,NULL,"active",0,0,0,"learning path",NULL,"Full Curriculum"
152,11710,0,"_5jRGG0f0Da56Kks_XcO7kW3S8Kgt4Ni0MfyHJHhFM4_","_5jRGG0f0Da56Kks_XcO7kW3S8Kgt4Ni0MfyHJHhFM4_",NULL,16,"70,240,62,18,71",NULL,"",1,1,NULL,"",0,"2023-03-10",NULL,NULL,"active",0,0,0,"learning path",NULL,"Full Curriculum"
154,11710,0,"j7p0OIzjJe9PWfez9RNNRE9e1DTVeLe0O6kWQTLpCSk_","j7p0OIzjJe9PWfez9RNNRE9e1DTVeLe0O6kWQTLpCSk_",NULL,16,"60,69,66,68,67,63,30,64,61,100,65",NULL,"",1,1,NULL,"",0,"2023-03-10",NULL,NULL,"active",0,0,0,"learning path",NULL,"Full Curriculum"
155,11710,0,"_BFAhPXRoA4mYDv2uKnCZ9hEy3uF7LlyEe7otfW71Oo_","_BFAhPXRoA4mYDv2uKnCZ9hEy3uF7LlyEe7otfW71Oo_",NULL,16,"230,237,235,236,234,250",NULL,"",1,1,NULL,"",0,"2023-03-10",NULL,NULL,"active",0,0,0,"learning path",NULL,"Full Curriculum"
156,11710,0,"Lrw8UwAQKzYKXGPNJKGkgw2opsl4C72O3BQMw0LVHOk_","Lrw8UwAQKzYKXGPNJKGkgw2opsl4C72O3BQMw0LVHOk_",NULL,38,"230,250",NULL,"",1,1,NULL,"",0,"2023-03-10",NULL,NULL,"active",0,0,0,"learning path",NULL,"Full Curriculum"
157,18098,0,"_GubTVst_WEIWbWBIKo_epTPC9WRB8PS2eDi6kScXQU_","_GubTVst_WEIWbWBIKo_epTPC9WRB8PS2eDi6kScXQU_",NULL,NULL,"60,71,237,63,61,234,236",NULL,"",1,1,NULL,"",0,"2023-08-17",NULL,NULL,"active",0,0,0,"learning path",NULL,NULL
158,18098,0,"qOrqkwFyrXjx4dNJiuRVPaudO5_DE1ft9HEupgPwZ8g_","qOrqkwFyrXjx4dNJiuRVPaudO5_DE1ft9HEupgPwZ8g_",NULL,NULL,"68,69",NULL,"",1,1,NULL,"",0,"2023-08-17",NULL,NULL,"active",0,0,0,"learning path",NULL,NULL
159,18098,0,"9ERcmSDg4fPyAhQIC5YpPdxm_jH8BB4muSBpucCtskk_","9ERcmSDg4fPyAhQIC5YpPdxm_jH8BB4muSBpucCtskk_",NULL,NULL,"235,100,65",NULL,"",1,1,NULL,"",0,"2023-08-17",NULL,NULL,"active",0,0,0,"learning path",NULL,NULL
160,18098,0,"UvRL6aji_J4qzOaf9XrdsLyBYidxyOAKsw7IuYRguoE_","UvRL6aji_J4qzOaf9XrdsLyBYidxyOAKsw7IuYRguoE_",NULL,NULL,"243,238,230",NULL,"",1,1,NULL,"",0,"2023-08-17",NULL,NULL,"active",0,0,0,"learning path",NULL,NULL
161,18098,0,"0TPUoH3dagdacyexKRIso3a3mAZR0e3Nt64bFj1Qq4g_","0TPUoH3dagdacyexKRIso3a3mAZR0e3Nt64bFj1Qq4g_",NULL,NULL,"94,95,96",NULL,"",1,1,NULL,"",0,"2023-08-17",NULL,NULL,"active",0,0,0,"learning path",NULL,NULL
162,18098,0,"GcqA707E5qzjsLcM6Kc7NhLGlFcsgBMbkvwOgiw0_uc_","GcqA707E5qzjsLcM6Kc7NhLGlFcsgBMbkvwOgiw0_uc_",NULL,NULL,"102,184",NULL,"",1,1,NULL,"",0,"2023-08-17",NULL,NULL,"active",0,0,0,"learning path",NULL,NULL
163,18098,0,"TSeiRSFMTilaNnBOfx6xu6BBEFYRZjSzNibD7ZY_VpI_","TSeiRSFMTilaNnBOfx6xu6BBEFYRZjSzNibD7ZY_VpI_",NULL,NULL,"231,230",NULL,"",1,1,NULL,"",0,"2023-08-17",NULL,NULL,"active",0,0,0,"learning path",NULL,NULL
164,18098,0,"dbsrEEATElutMSly0fNY_g0D0cC7KhpIM7gHICLDdSY_","dbsrEEATElutMSly0fNY_g0D0cC7KhpIM7gHICLDdSY_",NULL,NULL,"72,119,74",NULL,"",1,1,NULL,"",0,"2023-08-17",NULL,NULL,"active",0,0,0,"learning path",NULL,NULL
165,18098,0,"Hw5qfpF_uFJmunrTxLPUzwFgOmLhq4f4_7ONF5IATPQ_","Hw5qfpF_uFJmunrTxLPUzwFgOmLhq4f4_7ONF5IATPQ_",NULL,NULL,"71",NULL,"",1,1,NULL,"",0,"2023-08-17",NULL,NULL,"active",0,0,0,"learning path",NULL,NULL
166,18098,0,"sxv3BfHLTpV0dHJ9CJ0RSzW2nWsASDat6URXjouqFn0_","sxv3BfHLTpV0dHJ9CJ0RSzW2nWsASDat6URXjouqFn0_",NULL,NULL,"231,230",NULL,"",1,1,NULL,"",0,"2023-08-17",NULL,NULL,"active",0,0,0,"learning path",NULL,NULL
167,18098,0,"JK5DPT4J7VYSltRxgLo_7jhjMxisYd3v_lQve133Abk_","JK5DPT4J7VYSltRxgLo_7jhjMxisYd3v_lQve133Abk_",NULL,NULL,"119,74",NULL,"",1,1,NULL,"",0,"2023-08-17",NULL,NULL,"active",0,0,0,"learning path",NULL,NULL
168,18098,0,"AXjQh0nWYeXn8UgxVmBrPpzvd_pOIQwyQvA_yZS72c4_","AXjQh0nWYeXn8UgxVmBrPpzvd_pOIQwyQvA_yZS72c4_",NULL,NULL,"231,230",NULL,"",1,1,NULL,"",0,"2023-08-17",NULL,NULL,"active",0,0,0,"learning path",NULL,NULL
169,18098,0,"Fcym7KxHaY7cdkbFrrNOyXmUZPezkWSmKoTpfeV3YOs_","Fcym7KxHaY7cdkbFrrNOyXmUZPezkWSmKoTpfeV3YOs_",NULL,NULL,"72,119,74",NULL,"",1,1,NULL,"",0,"2023-08-17",NULL,NULL,"active",0,0,0,"learning path",NULL,NULL
170,29,0,"Courses Under Development","Courses Under Development",NULL,NULL,"252,253",NULL,"",0,1,NULL,"",1000,"2023-08-19",NULL,NULL,"active",0,0,0,"course",NULL,NULL
171,29,0,"EolxAY2WYghwEJxbEJKv3PqLRx8WPzmqfucWaDuFjRw_","EolxAY2WYghwEJxbEJKv3PqLRx8WPzmqfucWaDuFjRw_",NULL,NULL,"119,60,231",NULL,"",1,1,NULL,"",0,"2023-08-24",NULL,NULL,"active",0,0,0,"learning path",NULL,"Full Curriculum"
172,29,0,"d8TVaxlDJMFPJsbfkhbp2tB43LwLSXA4vmy78LxZgN0_","d8TVaxlDJMFPJsbfkhbp2tB43LwLSXA4vmy78LxZgN0_",NULL,NULL,"72,71",NULL,"",1,1,NULL,"",0,"2023-08-24",NULL,NULL,"active",0,0,0,"learning path",NULL,"Full Curriculum"
173,29,0,"DGEoCMFMS6GjIdS0tNh9YGk51bh6ZmtTwH27pCYxrY4_","DGEoCMFMS6GjIdS0tNh9YGk51bh6ZmtTwH27pCYxrY4_",NULL,NULL,"238,96,94,95",NULL,"",1,1,NULL,"",0,"2023-08-24",NULL,NULL,"active",0,0,0,"learning path",NULL,"Full Curriculum"
174,29,0,"cI5PaOghL2CB9LUo1AftqsRbeEIM_4zXcl37DNm6Xrg_","cI5PaOghL2CB9LUo1AftqsRbeEIM_4zXcl37DNm6Xrg_",NULL,NULL,"61,18",NULL,"",1,1,NULL,"",0,"2023-08-24",NULL,NULL,"active",0,0,0,"learning path",NULL,"Full Curriculum"
175,1029,0,"oZyiZmyoDCZbJEQ_XaGUPeBU4_5T_5kLVAp4tGqLfn","oZyiZmyoDCZbJEQ_XaGUPeBU4_5T_5kLVAp4tGqLfn",NULL,NULL,"119,177,231,60,72,70",NULL,"",1,1,NULL,"",0,"2023-08-30",NULL,NULL,"active",0,0,0,"learning path",NULL,"Curriculum Package"
176,19561,0,"SUJ_DA3QwrOqAXPUNrVgf8ckLYzKy","SUJ_DA3QwrOqAXPUNrVgf8ckLYzKy",NULL,NULL,"60,70,35,94,95,102,96,233",NULL,"",1,1,NULL,"",0,"2023-09-29",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
177,15704,0,"o5bGx4vOC9Dyka44T4m60UbBkqUBJbIrqVdtR2n","o5bGx4vOC9Dyka44T4m60UbBkqUBJbIrqVdtR2n",NULL,NULL,"60,70,240,249,237,235,236,234,63,100,65,68,69,71,61,18,30,62,64,66,67,238,231,35,94,192,95,102,96,184,10,28,230,228,201,39,72,74,119,177,176,179,180,233,185,232,241,175",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
178,15704,0,"a3p07ELAa1gXlKvqiTqXlLAbC8qe0OxZ","a3p07ELAa1gXlKvqiTqXlLAbC8qe0OxZ",NULL,NULL,"60,72,177,179,180,231",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
179,15704,0,"IcpPLP02Vh_piirbjrumpUHot1NI7u3k","IcpPLP02Vh_piirbjrumpUHot1NI7u3k",NULL,34,"228,60,70,63,235,100,35",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"course",NULL,"Full Curriculum"
180,15704,0,"0F4dV40S6D7UhuWP2_Fe8iI0GIjtg1rxP","0F4dV40S6D7UhuWP2_Fe8iI0GIjtg1rxP",NULL,NULL,"60,70,237,63,235,100,65,236,234,68,69,71,61,18,30,240",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
181,15704,0,"pS44O5MaoAL0e1iBpBiu1h9uFiZK6NJGnsN3_7r9SLI_","pS44O5MaoAL0e1iBpBiu1h9uFiZK6NJGnsN3_7r9SLI_",NULL,NULL,"60,72,74,35,119,231",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
182,15704,0,"NxaZWxEVedno_9fWmh6VTEnz3deMdWvalfMa","NxaZWxEVedno_9fWmh6VTEnz3deMdWvalfMa",NULL,NULL,"60,72,231",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
183,15704,0,"VudXEVcR6AqE_tRBW2ONVvzVpQKB02BDBXuadt","VudXEVcR6AqE_tRBW2ONVvzVpQKB02BDBXuadt",NULL,NULL,"60,71,61,18,30,240",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
184,15704,0,"XZqJOQXZpte5JSWg7zUCZEobgP4LkW7dXK8h9s3u0","XZqJOQXZpte5JSWg7zUCZEobgP4LkW7dXK8h9s3u0",NULL,NULL,"60,70,237,63,235,100,65,236,234,68,69,71,61,18,30,240",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
185,15704,0,"89asYoQ6ZkReONIIW_n9hcocWzFxgJ6zPqw4NIyEZ","89asYoQ6ZkReONIIW_n9hcocWzFxgJ6zPqw4NIyEZ",NULL,NULL,"60,70,237,235,236,234,63,100,65,68,69,71,61,18,30",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
186,15704,0,"YiUvj0cDAteikA19vMzYOLZkLJ4jL36KfdBw9gdbTgc_","YiUvj0cDAteikA19vMzYOLZkLJ4jL36KfdBw9gdbTgc_",NULL,NULL,"60,238,231,35,94,192,95,102,96,184,10,28,230",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
187,15704,0,"O35YhtIWXludcwkZ53Zgy5ymqaf1J29IwdI91i7uPe4_","O35YhtIWXludcwkZ53Zgy5ymqaf1J29IwdI91i7uPe4_",NULL,NULL,"60,72,74,35,119,231",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
188,15704,0,"Weo9WBjKJofEFr7pxDiSqawkgvpicxVK1uz_R4Qv9U","Weo9WBjKJofEFr7pxDiSqawkgvpicxVK1uz_R4Qv9U",NULL,NULL,"60,233,185,241,232,61",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
189,15704,0,"kBfGISUEqG4_KuPwTRQs7i_qM5uDYdTpj7nHe","kBfGISUEqG4_KuPwTRQs7i_qM5uDYdTpj7nHe",NULL,NULL,"228,60,70,35,63,100,30,235,64",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
190,15704,0,"hLXdEGsPpZhaA1LpB0_S55LY1YVAxTTGjPO9tvYsG4Q_","hLXdEGsPpZhaA1LpB0_S55LY1YVAxTTGjPO9tvYsG4Q_",NULL,NULL,"231",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
191,15704,0,"T_Izr5Mjv2s0YGB4jJHFiTVCMK1jE67ntaclVW3se2E_","T_Izr5Mjv2s0YGB4jJHFiTVCMK1jE67ntaclVW3se2E_",NULL,NULL,"238",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
192,15704,0,"4_d0QsuktVDLABxtaAvUreKxSCgjMntkiS2tEipIYNI_","4_d0QsuktVDLABxtaAvUreKxSCgjMntkiS2tEipIYNI_",NULL,NULL,"228",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"course",NULL,"Full Curriculum"
193,15704,0,"WirIhb0beULHZbPTX5NALLMsBunwVd53qoVO7jN15CE_","WirIhb0beULHZbPTX5NALLMsBunwVd53qoVO7jN15CE_",NULL,NULL,"240",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
194,15704,0,"WLQT7XYDgv1wAeGyeLa9e5zdfBv2N63REbXQRavbLdQ_","WLQT7XYDgv1wAeGyeLa9e5zdfBv2N63REbXQRavbLdQ_",NULL,NULL,"243",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
195,24570,0,"3bQiSprVkVk_XYvTtO_0E__dDLxH5UAKB6gb","3bQiSprVkVk_XYvTtO_0E__dDLxH5UAKB6gb",NULL,NULL,"231,105,70,271,101,273,100,65,236,234,68,69,71,61,18",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
196,24570,0,"gIQsnbT5xOQ44kn3B3_dHo5Lalv_fz7toSm","gIQsnbT5xOQ44kn3B3_dHo5Lalv_fz7toSm",NULL,NULL,"231,71,61,18",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
197,24570,0,"J8UDD_FOPZIVbUPNIJ1yESVcI7f8ScyIvCo","J8UDD_FOPZIVbUPNIJ1yESVcI7f8ScyIvCo",NULL,NULL,"231,71,61,18",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
198,24570,0,"lwV53IGdVUFKE2fOlI7a8l2Qsk89OeZRF","lwV53IGdVUFKE2fOlI7a8l2Qsk89OeZRF",NULL,NULL,"201,35,72,105,70,271,101,273,100,65,236,234,68,69,71,61,18,39",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
199,11710,0,"lTK_kSNmPWC9aWgDsc4RnhXk4R_KcSsHgMuMM_d2nGY_","lTK_kSNmPWC9aWgDsc4RnhXk4R_KcSsHgMuMM_d2nGY_",NULL,NULL,"60,30,70,250",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
200,11710,0,"oGreSvX__6LyYunNj4qmnBO9ABi_fKOUGsxi5iP49I4_","oGreSvX__6LyYunNj4qmnBO9ABi_fKOUGsxi5iP49I4_",NULL,NULL,"35,231",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
201,11710,0,"9YZLOnJVhL1s_0F1_fpXXVlXTKEiW8fdp646RpdoNyY_","9YZLOnJVhL1s_0F1_fpXXVlXTKEiW8fdp646RpdoNyY_",NULL,NULL,"230",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
202,1029,0,"oZyiZmyoDCZbJEQ_XaGUPeBU4_5T_5kLVAp4tGqLfn","oZyiZmyoDCZbJEQ_XaGUPeBU4_5T_5kLVAp4tGqLfn",NULL,NULL,"60,72,74,35,119,231,60",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
203,1029,0,"WAgnsXbrYiLnzZrLxHydNhVX39LK0gT5G","WAgnsXbrYiLnzZrLxHydNhVX39LK0gT5G",NULL,NULL,"228,60,70,63,235,100,35",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
204,1029,0,"EaYbd3PrlCQjh70ouicOmNCnYzVDm6ShKawBKNNr7ro_","EaYbd3PrlCQjh70ouicOmNCnYzVDm6ShKawBKNNr7ro_",NULL,NULL,"228,60,35,63",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
205,1029,0,"WfcpZTe1nKvxjJLz75nAEnSS2SSZpDvDPE","WfcpZTe1nKvxjJLz75nAEnSS2SSZpDvDPE",NULL,NULL,"240,60,70,237,63,235,100,65,236,234,68,69,71,61,18,30",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
206,1029,0,"RBNaTkCiD3pp9mIiixAdpMNbv5CgHPzf3I","RBNaTkCiD3pp9mIiixAdpMNbv5CgHPzf3I",NULL,NULL,"60,70,237,63,235,100,65,236,234,68,69,71,61,18,30,240",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
207,1029,0,"yljPP11dyYxNTjhU0DNWmup4u7FAMfUHWdqI","yljPP11dyYxNTjhU0DNWmup4u7FAMfUHWdqI",NULL,NULL,"60,72,74,35,119,231",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
208,1029,0,"53wP65cBFopQHd6qM5_Pjih_Lwfal_LTLz3jNLC5tv","53wP65cBFopQHd6qM5_Pjih_Lwfal_LTLz3jNLC5tv",NULL,NULL,"60,72,74,35,119,231",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
209,1029,0,"qwIQWYvHmY2D4A2lSgEnurp_kuKyAhTJxwq","qwIQWYvHmY2D4A2lSgEnurp_kuKyAhTJxwq",NULL,NULL,"60,70,233,185,232,185",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
210,1029,0,"raoqLGhYxmuYPCvN_qvcRqxMQlbta55yVv4uC37ha","raoqLGhYxmuYPCvN_qvcRqxMQlbta55yVv4uC37ha",NULL,NULL,"231,238,243,60,35,94,95,102,96,184,230,10,28",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
211,1029,0,"ZvIKmUEIDndcTio83UbijuM9P4ORvfeLFwGcogLzFTY_","ZvIKmUEIDndcTio83UbijuM9P4ORvfeLFwGcogLzFTY_",NULL,NULL,"176,177,179,180",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
212,11686,0,"o5bGx4vOC9Dyka44T4m60UbBkqUBJbIrqVdtR2n","o5bGx4vOC9Dyka44T4m60UbBkqUBJbIrqVdtR2n",NULL,NULL,"201,60,70,237,235,236,234,63,100,65,68,69,71,61,18,240,30,62,64,66,67,231,238,243,250,251,35,94,192,95,102,96,184,10,28,230,72,74,119,228,39,175,176,177,179,180,233,185,232,241,249",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
213,11686,0,"8QeS9WBP_Kga4W_YhIpqHjrMAErbTQ4Q_","8QeS9WBP_Kga4W_YhIpqHjrMAErbTQ4Q_",NULL,NULL,"228,60,119,70,63,235,100,35",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
214,11686,0,"0F4dV40S6D7UhuWP2_Fe8iI0GIjtg1rxP","0F4dV40S6D7UhuWP2_Fe8iI0GIjtg1rxP",NULL,NULL,"60,119,70,237,63,235,100,65,236,234,68,69,71,61,18,30,240",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"unknown",1,0,0,"learning path",NULL,"Full Curriculum"
215,11686,0,"Weo9WBjKJofEFr7pxDiSqawkgvpicxVK1uz_R4Qv9U","Weo9WBjKJofEFr7pxDiSqawkgvpicxVK1uz_R4Qv9U",NULL,NULL,"60,119,233,185,241,232,61",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
216,11686,0,"HyWmCO9OjyUAtlnQX3EsWhjAusrcYjbWKN88hCD_xvY_","HyWmCO9OjyUAtlnQX3EsWhjAusrcYjbWKN88hCD_xvY_",NULL,NULL,"60,119,72,231",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"unknown",1,0,0,"course",NULL,"Full Curriculum"
217,11686,0,"VudXEVcR6AqE_tRBW2ONVvzVpQKB02BDBXuadt","VudXEVcR6AqE_tRBW2ONVvzVpQKB02BDBXuadt",NULL,NULL,"60,119,71,61,18,30,240",NULL,"",1,1,NULL,"",0,"0000-00-00",NULL,NULL,"active",1,0,0,"learning path",NULL,"Full Curriculum"
